[11-Jan-2026 14:33:45 UTC] PHP Parse error:  syntax error, unexpected identifier "prev_text" in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-content/themes/estatein/single-properties.php on line 59
[11-Jan-2026 14:35:24 UTC] PHP Parse error:  syntax error, unexpected identifier "prev_text" in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-content/themes/estatein/single-properties.php on line 59
[11-Jan-2026 14:35:25 UTC] PHP Parse error:  syntax error, unexpected identifier "prev_text" in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-content/themes/estatein/single-properties.php on line 59
[11-Jan-2026 14:35:25 UTC] PHP Parse error:  syntax error, unexpected identifier "prev_text" in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-content/themes/estatein/single-properties.php on line 59
[11-Jan-2026 14:35:25 UTC] PHP Parse error:  syntax error, unexpected identifier "prev_text" in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-content/themes/estatein/single-properties.php on line 59
[11-Jan-2026 16:16:39 UTC] PHP Warning:  Undefined array key 1 in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-includes/media.php on line 1369
[11-Jan-2026 16:16:46 UTC] PHP Warning:  Undefined array key 1 in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-includes/media.php on line 1369
[11-Jan-2026 16:24:41 UTC] PHP Warning:  Undefined array key 1 in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-includes/media.php on line 1369
[11-Jan-2026 16:24:42 UTC] PHP Warning:  Undefined array key 1 in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-includes/media.php on line 1369
[11-Jan-2026 16:24:42 UTC] PHP Warning:  Undefined array key 1 in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-includes/media.php on line 1369
[11-Jan-2026 16:24:42 UTC] PHP Warning:  Undefined array key 1 in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-includes/media.php on line 1369
[11-Jan-2026 16:25:15 UTC] PHP Warning:  Undefined array key 1 in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-includes/media.php on line 1369
[11-Jan-2026 16:25:16 UTC] PHP Warning:  Undefined array key 1 in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-includes/media.php on line 1369
[11-Jan-2026 16:25:16 UTC] PHP Warning:  Undefined array key 1 in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-includes/media.php on line 1369
[11-Jan-2026 16:25:16 UTC] PHP Warning:  Undefined array key 1 in /Volumes/MacbookDataExternal/real-estate 2/app/public/wp-includes/media.php on line 1369
